title,genres,actors,directors,synopsis,rating
War 2,"Action, Adventure, Thriller","N.T. Rama Rao Jr., Hrithik Roshan, Kiara Advani",Ayan Mukerji,"Years ago Agent Kabir went rogue, became India’s greatest villain ever.  As he descends further into the deepest shadows... India sends its deadliest, most lethal agent after him, Agent Vikram  A Special Units Officer who is more than Kabir’s equal and a relentless Terminator driven by his own demons, determined to put a bullet into Kabir’s skull.",7.3
Saiyaara,"Romance, Drama","Ahaan Panday, Aneet Padda, Alam Khan",Mohit Suri,"Two artistic souls find harmony through music despite their contrasting worlds. As feelings deepen, age and circumstances challenge their undeniable bond.",6.4
Barbarian,"Horror, Thriller","Georgina Campbell, Justin Long, Bill Skarsgård",Zach Cregger,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that it has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway.",6.837
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure, Family, Fantasy","William Moseley, Anna Popplewell, Skandar Keynes",Andrew Adamson,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",7.134
Presence,"Horror, Thriller, Drama","Callina Liang, Lucy Liu, Chris Sullivan",Steven Soderbergh,"A couple and their children move into a seemingly normal suburban home. When strange events occur, they begin to believe there is something else in the house with them. The presence is about to disrupt their lives in unimaginable ways.",6.096
14 and Under,"Comedy, Romance","Harald Baerow, Ulrike Butz, Elke Deuringer",Ernst Hofbauer,"This episodic film is a close relative of Wolf Hartwig's schoolgirl report movies, made by the same people, in a similar style, around similar topics. However, this one specifically focuses on the coming-of-age aspects, to an extent that it also touches on delicate issues such as paedophilia.",5.533
Africa Blood and Guts,"Documentary, Horror","Sergio Rossi, Jomo Kenyatta, Gualtiero Jacopetti","Gualtiero Jacopetti, Franco Prosperi","A chronicle of the violence that occurred in much of the African continent throughout the 1960s. As many African countries were transitioning from colonial rule to other forms of government, violent political upheavals were frequent. Revolutions in Zanzibar and Kenya in which thousands were killed are shown, the violence not only political; there is also extensive footage of hunters and poachers slaughtering different types of wild animals.",6.467
Harry Potter and the Chamber of Secrets,"Adventure, Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson",Chris Columbus,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",7.706
Until Dawn,"Horror, Mystery","Ella Rubin, Maia Mitchell, Peter Stormare",David F. Sandberg,"One year after her sister Melanie mysteriously disappeared, Clover and her friends head into the remote valley where she vanished in search of answers. Exploring an abandoned visitor center, they find themselves stalked by a masked killer and horrifically murdered one by one...only to wake up and find themselves back at the beginning of the same evening.",6.5
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action","Elijah Wood, Ian McKellen, Viggo Mortensen",Peter Jackson,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",8.488
Top Gun: Maverick,"Action, Drama","Tom Cruise, Val Kilmer, Miles Teller",Joseph Kosinski,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",8.2
Julia's Lover,"Romance, Drama","Bianca Bin, Romulo Estrela, Sérgio Guizé",Vinicius Coimbra,"Paralyzed from the waist down after an accident, Cássio's relationship with Julia goes through difficulties. Feeling rejected, she starts a new romance. Based on the novel ""Lady Chatterley's Lover"" by D. H. Lawrence.",5.571
